start,end,average amount,average distance
2022-01-01 00:00:00,2022-01-16 00:00:00,19.903702637879007,5.576410377852007
2022-01-16 00:00:00,2022-01-31 00:00:00,19.03660791389491,4.804840472309411
2022-01-31 00:00:00,2022-02-15 00:00:00,19.553891327960553,5.950485844928121
2022-02-15 00:00:00,2022-03-02 00:00:00,20.17207809365826,6.1857672125677
2022-03-02 00:00:00,2022-03-17 00:00:00,20.692357713183547,6.60698631990843
2022-03-17 00:00:00,2022-04-01 01:00:00,21.118287307889744,5.524788048396609
2022-04-01 01:00:00,2022-04-16 01:00:00,21.513246092852775,5.679221475787186
2022-04-16 01:00:00,2022-05-01 01:00:00,21.43101017447181,5.800096624033294
2022-05-01 01:00:00,2022-05-16 01:00:00,21.929327001976056,6.255316989977559
2022-05-16 01:00:00,2022-05-31 01:00:00,22.80847294458172,8.000620246151973
2022-05-31 01:00:00,2022-06-15 01:00:00,22.444346976981922,6.372734051706068
2022-06-15 01:00:00,2022-06-30 01:00:00,22.352411132298936,6.154208190020687
2022-06-30 01:00:00,2022-07-15 01:00:00,22.242610840805348,5.946051673803016
